starting_position,driver_encoded,constructor_encoded,year,circuit_encoded,driver_form,winner_probability,predicted_winner,driver,constructor,circuit,actual_winner,actual_winner_driver
2.0,31.0,10.0,2023.0,5.0,0.0,0.7814741266927923,1,Sergio Pérez,Red Bull,Bahrain Grand Prix,0,
1.0,32.0,7.0,2021.0,29.0,0.0,0.7389712311677384,1,Valtteri Bottas,Mercedes,São Paulo Grand Prix,0,
2.0,18.0,10.0,2020.0,28.0,0.0,0.9839816435004268,1,Max Verstappen,Red Bull,Styrian Grand Prix,0,
8.0,18.0,10.0,2022.0,26.0,0.0,0.6308817092885773,1,Max Verstappen,Red Bull,Singapore Grand Prix,0,
1.0,18.0,10.0,2023.0,20.0,0.0,0.9947553178414533,1,Max Verstappen,Red Bull,Monaco Grand Prix,1,Max Verstappen
1.0,15.0,7.0,2020.0,6.0,0.0,0.8193063836781855,1,Lewis Hamilton,Mercedes,Belgian Grand Prix,1,Lewis Hamilton
3.0,18.0,10.0,2020.0,27.0,0.0,0.968492304572364,1,Max Verstappen,Red Bull,Spanish Grand Prix,0,
1.0,8.0,7.0,2022.0,14.0,0.0,0.6994730160365566,1,George Russell,Mercedes,Hungarian Grand Prix,0,
1.0,18.0,10.0,2022.0,3.0,0.0,0.9970042799842463,1,Max Verstappen,Red Bull,Austrian Grand Prix,0,
3.0,15.0,7.0,2024.0,27.0,0.0,0.6923493979139306,1,Lewis Hamilton,Mercedes,Spanish Grand Prix,0,
7.0,18.0,10.0,2020.0,14.0,0.0,0.7544071608834498,1,Max Verstappen,Red Bull,Hungarian Grand Prix,0,
1.0,18.0,10.0,2024.0,19.0,0.0,0.9974875183769497,1,Max Verstappen,Red Bull,Miami Grand Prix,0,
1.0,8.0,7.0,2024.0,8.0,0.0,0.7235073424388925,1,George Russell,Mercedes,Canadian Grand Prix,0,
3.0,18.0,10.0,2020.0,11.0,0.0,0.9684923045723639,1,Max Verstappen,Red Bull,Eifel Grand Prix,0,
3.0,18.0,10.0,2020.0,7.0,0.0,0.9705309174089523,1,Max Verstappen,Red Bull,British Grand Prix,0,
3.0,18.0,10.0,2020.0,5.0,0.0,0.9693067211309065,1,Max Verstappen,Red Bull,Bahrain Grand Prix,0,
2.0,15.0,7.0,2021.0,28.0,0.0,0.7958323611774917,1,Lewis Hamilton,Mercedes,Styrian Grand Prix,0,
1.0,15.0,7.0,2020.0,21.0,0.0,0.9049599738346342,1,Lewis Hamilton,Mercedes,Portuguese Grand Prix,1,Lewis Hamilton
4.0,18.0,10.0,2024.0,7.0,0.0,0.9270865552154317,1,Max Verstappen,Red Bull,British Grand Prix,0,
2.0,18.0,10.0,2021.0,20.0,0.0,0.9704909699768957,1,Max Verstappen,Red Bull,Monaco Grand Prix,1,Max Verstappen
1.0,18.0,10.0,2021.0,6.0,0.0,0.9879413622320371,1,Max Verstappen,Red Bull,Belgian Grand Prix,1,Max Verstappen
2.0,15.0,7.0,2020.0,12.0,0.0,0.6337847357447727,1,Lewis Hamilton,Mercedes,Emilia Romagna Grand Prix,1,Lewis Hamilton
2.0,31.0,10.0,2022.0,4.0,0.0,0.7694616262348818,1,Sergio Pérez,Red Bull,Azerbaijan Grand Prix,0,
1.0,18.0,10.0,2021.0,7.0,0.0,0.9972949320468872,1,Max Verstappen,Red Bull,British Grand Prix,0,
2.0,31.0,10.0,2024.0,16.0,0.0,0.7939927059095055,1,Sergio Pérez,Red Bull,Japanese Grand Prix,0,
